confirmation_weight,mean_delta_sharpe,median_delta_sharpe,p10_delta_sharpe,pct_higher_sharpe,median_delta_return_pct,median_delta_max_drawdown_pct
0.1,-0.022215390007372854,0.0,-0.21205476346855695,0.481,0.0,2.483813551087092
0.25,-0.023344401486751116,0.0,-0.29080197187849577,0.4,0.0,5.419234381688348
0.5,-0.03378489593052049,0.0,-0.46066846802845146,0.395,2.5808332671374483,8.406777734631323
1.0,-0.12519070183163103,0.0,-1.116000922792056,0.394,2.6083953301142095,12.6310406664
