timestamp,symbol,rule_position,ml_position,ml_confidence,regime,atr,close,rule_cost,ml_cost,rule_pnl,ml_pnl
2019-11-20 05:00:00,BTC/USDT,0.0,0.0,0.0,sideways,39.69785714285711,8113.02,0.0,0.0,0.0,0.0
2019-11-20 06:00:00,BTC/USDT,0.0,0.0,0.0,sideways,37.113571428571376,8126.86,0.0,0.0,0.0,0.0
2019-11-20 07:00:00,BTC/USDT,0.0,0.0,0.0,sideways,34.33428571428567,8121.47,0.0,0.0,-0.0,-0.0
2019-11-20 08:00:00,BTC/USDT,0.0,0.0,0.0,sideways,35.83499999999997,8089.66,0.0,0.0,-0.0,-0.0
2019-11-20 09:00:00,BTC/USDT,0.0,0.0,0.0,sideways,36.66142857142852,8076.0,0.0,0.0,-0.0,-0.0
2019-11-20 10:00:00,BTC/USDT,0.0,0.0,0.0,sideways,37.18142857142857,8061.0,0.0,0.0,-0.0,-0.0
2019-11-20 11:00:00,BTC/USDT,0.0,0.0,0.0,sideways,38.45071428571425,8088.41,0.0,0.0,0.0,0.0
2019-11-20 12:00:00,BTC/USDT,0.0,0.0,0.0,sideways,38.181428571428505,8080.96,0.0,0.0,-0.0,-0.0
2019-11-20 13:00:00,BTC/USDT,0.0,0.0,0.0,sideways,37.0264285714285,8086.08,0.0,0.0,0.0,0.0
2019-11-20 14:00:00,BTC/USDT,0.0,0.0,0.0,sideways,39.38428571428566,8146.91,0.0,0.0,0.0,0.0
2019-11-20 15:00:00,BTC/USDT,0.0,0.0,0.0,sideways,40.98357142857133,8127.68,0.0,0.0,-0.0,-0.0
2019-11-20 16:00:00,BTC/USDT,0.0,0.0,0.0,sideways,41.07714285714279,8122.67,0.0,0.0,-0.0,-0.0
2019-11-20 17:00:00,BTC/USDT,0.0,0.0,0.0,sideways,41.73214285714279,8146.4,0.0,0.0,0.0,0.0
2019-11-20 18:00:00,BTC/USDT,0.0,0.0,0.0,sideways,51.02500000000003,8104.76,0.0,0.0,-0.0,-0.0
2019-11-20 19:00:00,BTC/USDT,0.0,0.0,0.0,sideways,51.00071428571424,8088.62,0.0,0.0,-0.0,-0.0
2019-11-20 20:00:00,BTC/USDT,0.0,0.0,0.0,sideways,51.392142857142844,8098.07,0.0,0.0,0.0,0.0
2019-11-20 21:00:00,BTC/USDT,0.0,0.0,0.0,sideways,52.36785714285712,8099.72,0.0,0.0,0.0,0.0
2019-11-20 22:00:00,BTC/USDT,0.0,0.0,0.0,sideways,51.19214285714283,8091.05,0.0,0.0,-0.0,-0.0
2019-11-20 23:00:00,BTC/USDT,0.0,0.0,0.0,sideways,50.12642857142854,8098.01,0.0,0.0,0.0,0.0
2019-11-21 00:00:00,BTC/USDT,0.0,0.0,0.0,sideways,48.24214285714275,8098.48,0.0,0.0,0.0,0.0
2019-11-21 01:00:00,BTC/USDT,0.0,0.0,0.0,sideways,47.840714285714185,8123.13,0.0,0.0,0.0,0.0
2019-11-21 02:00:00,BTC/USDT,0.0,0.0,0.0,sideways,46.33785714285705,8121.19,0.0,0.0,-0.0,-0.0
