start_idx,start_ts,rule_sharpe,ml_sharpe,delta_sharpe,gated_sharpe,delta_gated_sharpe,rule_total_return_pct,ml_total_return_pct,delta_total_return_pct,gated_total_return_pct,delta_gated_total_return_pct,rule_max_drawdown_pct,ml_max_drawdown_pct,delta_max_drawdown_pct,gated_max_drawdown_pct,delta_gated_max_drawdown_pct,rule_final_capital_usdt,ml_final_capital_usdt,delta_final_capital_usdt,gated_final_capital_usdt,delta_gated_final_capital_usdt,start_regime
4565,2020-05-28 21:00:00,1.27192815536071,1.27192815536071,0.0,1.27192815536071,0.0,109.42365207867302,109.42365207867302,0.0,109.42365207867302,0.0,-80.92860580676056,-80.92860580676056,0.0,-80.92860580676056,0.0,1047.118260393365,1047.118260393365,0.0,1047.118260393365,0.0,sideways
39589,2024-05-28 04:00:00,-0.5188159241174115,-1.0389488365747166,-0.5201329124573051,-1.3342076370488476,-0.8153917129314361,-51.69559044924067,-40.27969473226578,11.415895716974887,-61.49578984493866,-9.800199395697994,-64.88646065282593,-51.46479730890623,13.421663343919704,-68.55918529366622,-3.6727246408402863,241.52204775379664,298.6015263386711,57.07947858487444,192.52105077530672,-49.00099697848992,sideways
33482,2023-09-16 17:00:00,0.49878674810365065,-0.25291885259053326,-0.7517056006941839,0.21264577678218174,-0.2861409713214689,7.144247202734566,-15.012218213245088,-22.156465415979653,-6.646427172708725,-13.790674375443292,-39.20325414025459,-32.26818048130288,6.9350736589517155,-43.053319200449295,-3.8500650601947015,535.7212360136729,424.93890893377454,-110.78232707989832,466.76786413645635,-68.95337187721651,sideways
22449,2022-06-13 23:00:00,0.8834814145008919,1.553402359749463,0.6699209452485712,1.065215766450097,0.18173435194920506,47.510884176957234,108.5833453067361,61.07246112977887,63.733777175132865,16.22289299817563,-62.58009353127871,-31.79279925388192,30.787294277396793,-50.30610060039105,12.273992930887665,737.5544208847862,1042.9167265336805,305.36230564889433,818.6688858756644,81.11446499087822,crash
22149,2022-06-01 11:00:00,1.5350335302014602,2.2805188086465162,0.7454852784450561,1.8990197919792888,0.36398626177782867,182.48002987766276,236.25253901361054,53.772509135947786,197.87914995140156,15.3991200737388,-61.0285981498515,-31.041311955724293,29.987286194127204,-50.30610060039111,10.722497549460385,1412.4001493883138,1681.2626950680526,268.8625456797388,1489.395749757008,76.99560036869411,crash
43919,2024-11-24 14:00:00,0.19204940807672902,-1.0400221383564827,-1.2320715464332117,-1.091450964135139,-1.283500372211868,-14.37891971443721,-38.81980243204496,-24.44088271760775,-55.026825194273,-40.64790547983579,-61.27155924350811,-49.55512449149126,11.716434752016845,-67.74204960359492,-6.4704903600868136,428.10540142781394,305.9009878397752,-122.20441358803873,224.86587402863498,-203.23952739917897,sideways
4396,2020-05-21 20:00:00,1.2185868170987268,1.2185868170987268,0.0,1.2185868170987268,0.0,94.61456588512385,94.61456588512385,0.0,94.61456588512385,0.0,-80.92860580676056,-80.92860580676056,0.0,-80.92860580676056,0.0,973.0728294256193,973.0728294256193,0.0,973.0728294256193,0.0,sideways
35671,2023-12-16 22:00:00,0.5050384478538917,-0.6629722653667101,-1.168010713220602,0.2483463303434024,-0.25669211751048937,7.103862441982645,-30.658630298510147,-37.76249274049279,-5.883230750889712,-12.987093192872358,-43.82162822902952,-38.37014040903156,5.451487819997958,-46.61978616679426,-2.798157937764742,535.5193122099132,346.70684850744925,-188.81246370246396,470.58384624555146,-64.93546596436175,sideways
10305,2021-01-23 10:00:00,1.5438881905135209,1.8332538872275062,0.28936569671398527,1.6568117734366856,0.11292358292316473,230.50519710812569,399.6746707884363,169.1694736803106,288.6052449354139,58.10004782728822,-59.732004867985026,-55.6786223067361,4.053382561248924,-55.6786223067361,4.053382561248924,1652.5259855406284,2498.3733539421814,845.847368401553,1943.0262246770694,290.500239136441,crash
4817,2020-06-08 09:00:00,1.2819182865047096,1.2819182865047096,0.0,1.2819182865047096,0.0,110.44473565233895,110.44473565233895,0.0,110.44473565233895,0.0,-80.92860580676053,-80.92860580676053,0.0,-80.92860580676053,0.0,1052.2236782616947,1052.2236782616947,0.0,1052.2236782616947,0.0,sideways
