symbol,policy_id,policy_family,classification,validation_return_pct,validation_sharpe,validation_sortino,oos_return_pct,oos_sharpe,oos_sortino,oos_max_drawdown_pct,oos_calmar,oos_profit_factor,oos_expectancy_pct,oos_win_rate_pct,oos_average_trade_pct,oos_median_trade_pct,oos_worst_trade_pct,oos_fees_pct,oos_slippage_pct,oos_trades,oos_exposure_pct,oos_average_holding_bars,oos_mae_pct,oos_mfe_pct,oos_tp_any_rate_pct,walk_forward_median_return_pct,walk_forward_median_sharpe,walk_forward_median_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,delta_oos_return_pct,delta_oos_sharpe,delta_oos_max_drawdown_pct
ETH/USDT,runner_25_25_50,runner,DIAGNOSTIC_ONLY,24.685656426592594,1.0157094137026301,0.6032087819706794,60.50148699828624,1.2622478482544022,0.6771427930344679,-21.51273331381184,1.2043379071958686,1.5095314951934387,0.4629655656635605,48.148148148148145,0.4629655656635605,-0.22377200906949718,-8.407196432144989,7.5600000000000005,4.32,108,8.497776542523624,22.564814814814813,-1.64861970441663,4.325800967723937,68.51851851851852,58.58139890547881,1.0928033894759555,-20.8227969878602,1.2247884057948506,100.0,-58.01569592291419,-0.17898484783486035,5.157144913667178
ETH/USDT,runner_33_33_34,runner,DIAGNOSTIC_ONLY,20.1948595463314,0.977681367673133,0.5786043378611821,42.239986207784995,1.0704222379718091,0.5531857666435974,-20.109288586474637,0.9307509050709603,1.3852210587482026,0.333421677451363,52.77777777777778,0.333421677451363,0.20849313398365227,-8.407196432144989,7.5600000000000005,4.32,108,7.074319066147859,22.564814814814813,-1.64861970441663,4.325800967723937,68.51851851851852,44.717391568388635,1.0057843378803244,-17.978362346816102,1.0910093323642776,100.0,-76.27719671341544,-0.3708104581174534,6.5605896410043805
ETH/USDT,runner_50_50,runner,DIAGNOSTIC_ONLY,27.604205352751386,1.116453472455744,0.6452739691965337,54.13420091898375,1.1622137181156669,0.6189200775525449,-20.47076155284584,1.1455907625552855,1.4479427701266026,0.4253593307673963,50.92592592592593,0.4253593307673963,0.16699555503320646,-8.407196432144989,7.5600000000000005,4.32,108,8.535297387437465,22.564814814814813,-1.64861970441663,4.325800967723937,56.481481481481474,56.932411757702475,1.0774576094869737,-20.867536397469767,1.3831973186014401,100.0,-64.38298200221668,-0.27901897797359565,6.199116674633178
ETH/USDT,runner_20_30_50,runner,DIAGNOSTIC_ONLY,25.056486661505815,1.0165232859048576,0.6045266616007574,62.797623443598916,1.2854981944250687,0.6921535382582726,-21.542191038983592,1.2432579385051767,1.5152011606281393,0.47686698758941565,48.148148148148145,0.47686698758941565,-0.19479437356381962,-8.407196432144989,7.5600000000000005,4.32,108,8.603112840466927,22.564814814814813,-1.64861970441663,4.325800967723937,68.51851851851852,61.408988127798395,1.1215812638431215,-20.556364309972317,1.2317865296309904,100.0,-55.719559477601514,-0.15573450166419378,5.127687188495425
ETH/USDT,partial_breakeven,partial,DIAGNOSTIC_ONLY,28.360939212617776,1.2254488741693133,0.6875567433385352,32.28820656699531,0.8680261106454087,0.3899137377930684,-20.410567332189633,0.7151675658272251,1.3581043579822678,0.27252956921623034,67.5925925925926,0.27252956921623034,0.18433415849629714,-8.407196432144989,7.5600000000000005,4.32,108,6.163146192329072,15.86111111111111,-1.4670305661523808,3.3750528083977347,68.51851851851852,39.37353294666666,0.894951441439445,-20.87888694063404,0.2747769277402751,100.0,-86.22897635420512,-0.5732065854438538,6.259310895289385
ETH/USDT,partial_atr_trailing,partial,DIAGNOSTIC_ONLY,23.51041404492127,1.047089947360213,0.5952768103268954,24.990682587477806,0.6798209419946741,0.320650416887387,-19.231636334833734,0.596617632890618,1.2393384848095501,0.21400674156841942,50.0,0.21400674156841942,-0.038367256923923454,-8.407196432144989,7.5600000000000005,4.32,108,6.5675375208449145,16.296296296296298,-1.608721377919503,3.6330740856744774,68.51851851851852,46.61755126396564,0.9751060033511667,-17.141665844776117,0.03481126633147433,0.0,-93.52650033372262,-0.7614117540945884,7.438241892645284
ETH/USDT,partial_chandelier,partial,DIAGNOSTIC_ONLY,15.342761451451082,0.7620126571257212,0.44856390887994424,34.681733154292175,0.879028592137073,0.43248010800443226,-19.179326050265765,0.8134782252663675,1.315333122937738,0.26923622138982933,50.0,0.26923622138982933,0.00408248658637151,-8.407196432144989,7.664999999999999,4.38,114,7.124791550861589,17.140350877192983,-1.5466666271838867,3.575263091876392,64.91228070175438,42.51219046582304,0.930185251619426,-18.065219040145752,0.4439088322728825,100.0,-83.83544976690825,-0.5622041039521896,7.490552177213253
ETH/USDT,partial_donchian_runner,partial,DIAGNOSTIC_ONLY,25.15554018965622,1.0320023319964422,0.6129194767318545,59.36226735403067,1.244574707623183,0.6680386823935569,-21.51273331381184,1.1840725601826732,1.5024133969803632,0.45649798829738775,48.148148148148145,0.45649798829738775,-0.22377200906949718,-8.407196432144989,7.5600000000000005,4.32,108,8.494997220678155,22.555555555555557,-1.64861970441663,4.325800967723937,68.51851851851852,57.9501656797036,1.0849974220844525,-20.754723343173914,0.9948166558581522,100.0,-59.15491556716976,-0.19665798846607951,5.157144913667178
ETH/USDT,partial_ema_runner,partial,DIAGNOSTIC_ONLY,22.065730974880292,0.9905413644244229,0.5510660407123489,31.718263740606222,0.8132245319656483,0.3960685226977022,-20.508282884317232,0.700024350244394,1.321646911105005,0.25806428149853805,46.15384615384615,0.25806428149853805,-0.2179944378532161,-5.191654831910694,7.5600000000000005,4.32,117,7.21372984991662,17.085470085470085,-1.494723277685596,3.3876049553799525,63.24786324786324,45.52378399473193,0.9669477428203459,-18.261983910595962,0.5553400120595291,100.0,-86.79891918059421,-0.6280081641236143,6.161595343161785
ETH/USDT,atr_grid_0.5_1.0,atr_grid,DIAGNOSTIC_ONLY,15.084008573377861,0.7120271769878304,0.41189212499766786,40.91457318952247,0.9839224243478278,0.5163618792487975,-20.291735220794948,0.8957728368128646,1.4118335061610752,0.33889710785967636,45.370370370370374,0.33889710785967636,-0.1830292044793299,-8.407196432144989,7.5600000000000005,4.32,108,7.897443023902167,22.564814814814813,-1.64861970441663,4.325800967723937,77.77777777777779,34.06350608912968,0.7538811426610682,-21.953546770597914,1.321421560474255,100.0,-77.60260973167796,-0.4573102717414347,6.37814300668407
