candidate,sample,total_return_pct,sharpe,sortino,max_drawdown_pct,calmar,n_periods,win_rate_pct,profit_factor,status,median_sharpe,mean_sharpe,pct_profitable,mean_total_return_pct,median_total_return_pct,worst_case_max_drawdown_usdt
conservative,train,237.68435003508023,0.7693125607069629,0.7622654238804503,-56.76333042499787,0.6090980228683546,35900.0,49.498456790123456,1.0667709502657818,,,,,,,
conservative,validation,-12.701000787622663,0.07252456255303891,0.07391907980345018,-46.80177766576219,-0.20181216608530833,11993.0,46.76025917926566,0.8670638588495091,,,,,,,
conservative,oos,31.817991163057926,0.6872996636590779,0.7502046226477513,-33.53217774428418,0.6667034399350776,11994.0,46.54586636466591,0.9441307320803399,,,,,,,
conservative,stress,,,,,,,,,TESTED,0.6330436141273428,0.5299707585935666,64.0,34.07028929220112,20.697761139908444,-865.9076553678128
balanced,train,-45.83057848925299,0.685588859044689,0.7225357501628439,-91.71277611361681,-0.15139773635109785,35925.0,48.420199837969214,0.9614610264156433,,,,,,,
balanced,validation,-30.105063899618003,0.35243969815680054,0.39365246861116127,-79.16741549040206,-0.2907735454289556,11993.0,45.69433669511249,0.8197428141807812,,,,,,,
balanced,oos,26.109043122317964,0.6310745685710851,0.7361189536209881,-58.87398591178831,0.31359650177626325,11994.0,48.829953198127924,1.0670467927134655,,,,,,,
balanced,stress,,,,,,,,,TESTED,0.6038030980721902,0.621989372451797,40.0,5.284921142812155,-12.250468133483384,-2295.881444042021
aggressive,train,-96.7173257929311,0.28110298427135827,0.31043023734197844,-99.9246226802742,-0.5654689565084049,35950.0,48.79539733908666,0.9795544354761011,,,,,,,
aggressive,validation,-91.8723055407234,-0.9041620998421231,-1.0907668719872439,-94.64024956814174,-0.8876915749102224,11993.0,46.42521166509878,0.9540618501100432,,,,,,,
aggressive,oos,-34.89296402900602,0.14041341217778983,0.16921999082107547,-67.01545604380453,-0.4014929970238647,11994.0,48.35560123329907,0.9585974738261077,,,,,,,
aggressive,stress,,,,,,,,,TESTED,-0.02018010305294721,-0.006948237818730753,16.0,-42.85096350582394,-59.737051231641075,-3388.8889695275375
