Date,ADA-USD,ARB-USD,AVAX-USD,BTC-USD,DOT-USD,ETH-USD,FET-USD,INJ-USD,LINK-USD,NEAR-USD,OP-USD,RENDER-USD,SOL-USD
2024-01-01,0.6231099963188171,0.0004419999895617366,41.864463806152344,44167.33203125,8.59892463684082,2352.327880859375,0.7314000129699707,39.64942169189453,15.535808563232422,3.799201011657715,3.9886910915374756,4.745975971221924,109.50868225097656
2024-01-02,0.605666995048523,0.0004600000102072954,40.64521026611328,44957.96875,8.41269588470459,2355.83642578125,0.7304019927978516,37.0411491394043,15.165292739868164,3.923046112060547,3.708077907562256,4.659811973571777,106.61122131347656
2024-01-03,0.5572860240936279,0.00042799999937415123,36.7952766418457,42848.17578125,7.641822814941406,2210.761962890625,0.6581010222434998,34.20037841796875,14.150558471679688,3.7758491039276123,3.474562883377075,4.418562889099121,98.59443664550781
2024-01-04,0.5705670118331909,0.0004419999895617366,38.73783493041992,44179.921875,7.881475925445557,2269.0380859375,0.7251780033111572,38.4484977722168,14.5540189743042,3.919748067855835,3.7249579429626465,4.401535987854004,105.0775375366211
2024-01-05,0.5412420034408569,0.0008829999715089798,36.43484878540039,44162.69140625,7.44556188583374,2268.647216796875,0.6898900270462036,38.57008361816406,14.065112113952637,3.5459020137786865,3.4268360137939453,3.993407964706421,99.97879028320312
2024-01-06,0.5231029987335205,0.0008789999992586672,34.62417984008789,43989.1953125,7.13883113861084,2241.624755859375,0.6489449739456177,39.97490310668945,13.42838191986084,3.480813980102539,3.229759931564331,3.8063371181488037,93.85771942138672
2024-01-07,0.4941740036010742,0.0008789999992586672,33.62965393066406,43943.09765625,6.8958330154418945,2222.865966796875,0.6217420101165771,36.62273406982422,13.140296936035156,3.208437919616699,3.175955057144165,3.62369704246521,89.2763442993164
2024-01-08,0.5409359931945801,0.00046999999904073775,36.08260726928711,46970.50390625,7.477948188781738,2333.03271484375,0.6822829842567444,42.29082107543945,14.156993865966797,3.4157779216766357,3.417396068572998,4.055174827575684,97.79044342041016
2024-01-09,0.5115270018577576,0.00046099998871795833,34.695011138916016,46139.73046875,7.1172099113464355,2344.8271484375,0.6466969847679138,39.955665588378906,13.705975532531738,3.2260210514068604,3.6271309852600098,3.8693840503692627,99.40918731689453
2024-01-10,0.5666469931602478,0.0004659999976865947,38.472389221191406,46627.77734375,7.9710612297058105,2582.103515625,0.7138410210609436,40.863189697265625,15.031819343566895,3.591649055480957,3.9310190677642822,4.225319862365723,102.03302001953125
2024-01-11,0.5821790099143982,0.00046400001156143844,39.445777893066406,46368.5859375,8.170188903808594,2619.619140625,0.7275850176811218,38.710411071777344,15.032686233520508,3.6200931072235107,3.9860661029815674,4.077177047729492,99.90943908691406
2024-01-12,0.5473330020904541,0.0004290000069886446,35.87169647216797,42853.16796875,7.569273948669434,2524.460205078125,0.6852080225944519,36.72139358520508,14.134305000305176,3.4491169452667236,3.9259800910949707,3.824115037918091,91.72090911865234
2024-01-13,0.5493360161781311,0.00042799999937415123,36.45083999633789,42842.3828125,7.612985134124756,2576.597900390625,0.6887310147285461,38.82869338989258,14.364034652709961,3.4010679721832275,3.807360887527466,3.8879830837249756,95.73004913330078
2024-01-14,0.5259810090065002,0.0004180000105407089,35.33799743652344,41796.26953125,7.327098846435547,2472.2412109375,0.6516939997673035,36.91200637817383,14.79709243774414,3.307068109512329,3.4781429767608643,3.7682011127471924,94.13314056396484
2024-01-15,0.5281609892845154,0.00042299999040551484,35.66428756713867,42511.96875,7.517786979675293,2511.36376953125,0.6851189732551575,41.02505111694336,15.195074081420898,3.3035550117492676,3.44903302192688,3.7658851146698,94.49022674560547
2024-01-16,0.5356760025024414,0.0004309999931138009,35.59072494506836,43154.9453125,7.490059852600098,2587.691162109375,0.6895689964294434,40.772422790527344,15.261761665344238,3.2356228828430176,3.5987589359283447,3.967871904373169,97.62691497802734
2024-01-17,0.5270289778709412,0.00042699999175965786,36.00657653808594,42742.65234375,7.33296012878418,2528.369384765625,0.6767410039901733,39.1265754699707,15.730317115783691,3.2997701168060303,3.4525539875030518,4.1899027824401855,102.0635986328125
2024-01-18,0.5018740296363831,0.0004130000015720725,33.52815246582031,41262.05859375,7.007637023925781,2467.018798828125,0.6175940036773682,35.92677307128906,14.649992942810059,3.073837995529175,3.2104830741882324,4.303450107574463,94.2509536743164
