Date,BTC-USD,ETH-USD
2024-01-01,44167.33203125,2352.327880859375
2024-01-02,44957.96875,2355.83642578125
2024-01-03,42848.17578125,2210.761962890625
2024-01-04,44179.921875,2269.0380859375
2024-01-05,44162.69140625,2268.647216796875
2024-01-06,43989.1953125,2241.624755859375
2024-01-07,43943.09765625,2222.865966796875
2024-01-08,46970.50390625,2333.03271484375
2024-01-09,46139.73046875,2344.8271484375
2024-01-10,46627.77734375,2582.103515625
2024-01-11,46368.5859375,2619.619140625
2024-01-12,42853.16796875,2524.460205078125
2024-01-13,42842.3828125,2576.597900390625
2024-01-14,41796.26953125,2472.2412109375
2024-01-15,42511.96875,2511.36376953125
2024-01-16,43154.9453125,2587.691162109375
2024-01-17,42742.65234375,2528.369384765625
2024-01-18,41262.05859375,2467.018798828125
2024-01-19,41618.40625,2489.49853515625
2024-01-20,41665.5859375,2469.589111328125
2024-01-21,41545.78515625,2453.9130859375
2024-01-22,39507.3671875,2310.826416015625
2024-01-23,39845.55078125,2240.68603515625
2024-01-24,40077.07421875,2233.561767578125
2024-01-25,39933.80859375,2217.710205078125
2024-01-26,41816.87109375,2267.19970703125
2024-01-27,42120.0546875,2267.885986328125
2024-01-28,42035.59375,2257.208740234375
2024-01-29,43288.24609375,2317.064208984375
2024-01-30,42952.609375,2344.49365234375
2024-01-31,42582.60546875,2282.54443359375
2024-02-01,43075.7734375,2303.82470703125
2024-02-02,43185.859375,2308.0380859375
2024-02-03,42992.25,2296.038330078125
2024-02-04,42583.58203125,2289.546142578125
2024-02-05,42658.66796875,2298.888916015625
2024-02-06,43084.671875,2372.201904296875
2024-02-07,44318.22265625,2423.7451171875
2024-02-08,45301.56640625,2419.906494140625
2024-02-09,47147.19921875,2487.515625
2024-02-10,47771.27734375,2501.228271484375
2024-02-11,48293.91796875,2507.570556640625
2024-02-12,49958.22265625,2658.115966796875
2024-02-13,49742.44140625,2642.185302734375
2024-02-14,51826.6953125,2777.90234375
2024-02-15,51938.5546875,2824.37890625
2024-02-16,52160.203125,2803.69140625
2024-02-17,51662.99609375,2786.672607421875
2024-02-18,52122.546875,2878.998046875
2024-02-19,51779.14453125,2943.57470703125
2024-02-20,52284.875,3013.503662109375
2024-02-21,51839.1796875,2970.35546875
2024-02-22,51304.97265625,2971.00732421875
2024-02-23,50731.94921875,2921.658203125
2024-02-24,51571.1015625,2992.385986328125
2024-02-25,51733.23828125,3112.697265625
2024-02-26,54522.40234375,3178.99365234375
2024-02-27,57085.37109375,3244.519287109375
2024-02-28,62504.7890625,3385.703857421875
2024-02-29,61198.3828125,3341.919677734375
2024-03-01,62440.6328125,3435.053955078125
2024-03-02,62029.84765625,3422.0498046875
2024-03-03,63167.37109375,3490.99365234375
2024-03-04,68330.4140625,3630.433837890625
2024-03-05,63801.19921875,3554.964599609375
