Date,equity,vix,world
2016-11-14,2160.5,14.479999542236328,59.72567367553711
2016-11-15,2179.25,13.369999885559082,59.99357986450195
2016-11-16,2172.75,13.720000267028809,59.75916290283203
2016-11-17,2184.25,13.350000381469727,60.17776107788086
2016-11-18,2180.75,12.850000381469727,59.89310836791992
2016-11-21,2193.0,12.420000076293945,60.36194610595703
2016-11-22,2200.25,12.40999984741211,60.37031173706055
2016-11-23,2200.75,12.430000305175781,60.345211029052734
2016-11-25,2211.25,12.34000015258789,60.54611587524414
2016-11-28,2200.75,13.149999618530273,60.40381622314453
2016-11-29,2203.75,12.899999618530273,60.68846130371094
2016-11-30,2198.75,13.329999923706055,60.53775405883789
2016-12-01,2192.0,14.069999694824219,60.345211029052734
2016-12-02,2192.0,14.119999885559082,60.44565200805664
2016-12-05,2204.25,12.140000343322754,60.67169952392578
2016-12-06,2210.0,11.789999961853027,60.98147201538086
2016-12-07,2236.75,12.220000267028809,61.85215377807617
2016-12-08,2247.75,12.640000343322754,61.97773742675781
2016-12-09,2260.0,11.75,62.120059967041016
2016-12-12,2256.0,12.640000343322754,62.086585998535156
2016-12-13,2273.25,12.720000267028809,62.6140022277832
2016-12-14,2257.0,13.1899995803833,61.97773742675781
2016-12-15,2263.5,12.789999961853027,62.12845230102539
2016-12-16,2267.5,12.199999809265137,61.89401626586914
2016-12-19,2260.0,11.710000038146973,62.07820129394531
2016-12-20,2266.5,11.449999809265137,62.32936096191406
2016-12-21,2260.5,11.270000457763672,62.18392562866211
2016-12-22,2258.75,11.430000305175781,61.98944091796875
2016-12-23,2260.0,11.4399995803833,62.22618865966797
2016-12-27,2261.0,11.989999771118164,62.18392562866211
2016-12-28,2245.25,12.949999809265137,61.86259078979492
2016-12-29,2245.0,13.369999885559082,61.99790954589844
2016-12-30,2236.25,14.039999961853027,61.794952392578125
2017-01-03,2252.5,12.850000381469727,62.36994934082031
2017-01-04,2264.25,11.850000381469727,62.902645111083984
2017-01-05,2264.25,11.670000076293945,63.11405944824219
2017-01-06,2271.5,11.319999694824219,63.24088668823242
2017-01-09,2265.0,11.5600004196167,62.928016662597656
2017-01-10,2263.75,11.489999771118164,63.02104568481445
2017-01-11,2270.5,11.260000228881836,63.06332778930664
2017-01-12,2263.5,11.539999961853027,63.19015884399414
2017-01-13,2272.5,11.229999542236328,63.36773681640625
2017-01-17,2262.75,11.869999885559082,63.19015884399414
2017-01-18,2266.5,12.479999542236328,63.029510498046875
2017-01-19,2261.5,12.779999732971191,62.970314025878906
2017-01-20,2266.0,11.539999961853027,63.11405944824219
2017-01-23,2262.0,11.770000457763672,63.130977630615234
2017-01-24,2274.5,11.069999694824219,63.503021240234375
2017-01-25,2294.0,10.8100004196167,63.9849967956543
2017-01-26,2294.0,10.630000114440918,63.94272232055664
2017-01-27,2289.0,10.579999923706055,63.8919792175293
2017-01-30,2276.0,11.880000114440918,63.47764587402344
2017-01-31,2274.5,11.989999771118164,63.51148986816406
2017-02-01,2274.5,11.8100004196167,63.62139892578125
2017-02-02,2275.5,11.930000305175781,63.6383171081543
2017-02-03,2291.0,10.970000267028809,63.9173698425293
2017-02-06,2286.5,11.369999885559082,63.77361297607422
2017-02-07,2288.5,11.289999961853027,63.74824905395508
2017-02-08,2290.25,11.449999809265137,63.858154296875
2017-02-09,2304.25,10.880000114440918,64.09492492675781
2017-02-10,2312.75,10.850000381469727,64.2555923461914
2017-02-13,2326.25,11.069999694824219,64.56844329833984
2017-02-14,2337.0,10.739999771118164,64.79676055908203
2017-02-15,2350.5,11.970000267028809,64.92359161376953
2017-02-16,2345.5,11.760000228881836,65.08425903320312
2017-02-17,2348.0,11.489999771118164,65.01661682128906
2017-02-21,2360.0,11.569999694824219,65.27873992919922
2017-02-22,2361.0,11.739999771118164,65.33795166015625
2017-02-23,2362.75,11.710000038146973,65.27873992919922
2017-02-24,2365.0,11.470000267028809,65.27873992919922
2017-02-27,2368.25,12.09000015258789,65.3210220336914
2017-02-28,2362.75,12.920000076293945,65.17727661132812
2017-03-01,2393.5,12.539999961853027,65.87065124511719
2017-03-02,2382.0,11.8100004196167,65.44786071777344
2017-03-03,2381.25,10.960000038146973,65.66770935058594
2017-03-06,2375.5,11.239999771118164,65.45631408691406
2017-03-07,2366.5,11.449999809265137,65.24491882324219
2017-03-08,2364.0,11.859999656677246,65.0419921875
2017-03-09,2366.25,12.300000190734863,65.11808013916016
2017-03-10,2371.75,11.65999984741211,65.4901351928711
2017-03-13,2375.0,11.350000381469727,65.76070404052734
2017-03-14,2366.5,12.300000190734863,65.23645782470703
2017-03-15,2383.75,11.630000114440918,65.95521545410156
2017-03-16,2382.75,11.210000038146973,66.20887756347656
2017-03-17,2384.5,11.279999732971191,66.05667114257812
2017-03-20,2370.25,11.34000015258789,65.98057556152344
2017-03-21,2342.25,12.470000267028809,65.2702865600586
2017-03-22,2342.5,12.8100004196167,65.6338882446289
2017-03-23,2340.0,13.119999885559082,65.43939971923828
2017-03-24,2344.75,12.960000038146973,65.53240966796875
2017-03-27,2338.5,12.5,65.48167419433594
2017-03-28,2351.5,11.529999732971191,66.00593566894531
2017-03-29,2357.0,11.420000076293945,65.94674682617188
2017-03-30,2364.5,11.539999961853027,66.08203887939453
2017-03-31,2359.25,12.369999885559082,65.84528350830078
2017-04-03,2356.0,12.380000114440918,65.81990814208984
2017-04-04,2356.5,11.789999961853027,65.71844482421875
2017-04-05,2346.5,12.890000343322754,65.60853576660156
2017-04-06,2353.75,12.390000343322754,65.64234161376953
2017-04-07,2352.25,12.869999885559082,65.66770935058594
2017-04-10,2352.5,14.050000190734863,65.68461608886719
2017-04-11,2351.0,15.069999694824219,65.80298614501953
2017-04-12,2340.75,15.770000457763672,65.60853576660156
2017-04-13,2327.5,15.960000038146973,65.09271240234375
2017-04-17,2345.0,14.65999984741211,65.57469940185547
2017-04-18,2337.25,14.420000076293945,65.3294906616211
2017-04-19,2333.75,14.930000305175781,65.2702865600586
2017-04-20,2352.0,14.149999618530273,65.66770935058594
2017-04-21,2347.5,14.630000114440918,65.60005187988281
2017-04-24,2370.0,10.84000015258789,66.69932556152344
2017-04-25,2385.0,10.760000228881836,67.11365509033203
2017-04-26,2382.25,10.850000381469727,67.0121841430664
2017-04-27,2386.0,10.359999656677246,66.96145629882812
2017-04-28,2380.5,10.819999694824219,66.9529800415039
2017-05-01,2387.0,10.109999656677246,67.15592193603516
2017-05-02,2385.75,10.59000015258789,67.18974304199219
2017-05-03,2383.25,10.680000305175781,67.13057708740234
2017-05-04,2385.5,10.460000038146973,67.35041809082031
2017-05-05,2397.75,10.569999694824219,67.7140121459961
2017-05-08,2395.0,9.770000457763672,67.59561920166016
2017-05-09,2393.25,9.960000038146973,67.56179809570312
2017-05-10,2395.25,10.210000038146973,67.59561920166016
2017-05-11,2391.0,10.600000381469727,67.45189666748047
2017-05-12,2388.75,10.399999618530273,67.50260925292969
2017-05-15,2398.5,10.420000076293945,67.94231414794922
2017-05-16,2397.0,10.649999618530273,68.11143493652344
2017-05-17,2357.5,15.59000015258789,67.02909088134766
2017-05-18,2363.5,14.65999984741211,67.14746856689453
2017-05-19,2381.5,12.039999961853027,67.72246551513672
2017-05-22,2392.75,10.930000305175781,68.18751525878906
2017-05-23,2398.0,10.720000267028809,68.06069946289062
2017-05-24,2402.0,10.020000457763672,68.3651123046875
