Date,ES=F,NQ=F,^VIX,URTH
2019-08-12,2880.25,7566.75,21.09000015258789,79.1839370727539
2019-08-13,2932.0,7748.0,17.520000457763672,80.27318572998047
2019-08-14,2840.75,7488.75,22.100000381469727,78.03221130371094
2019-08-15,2848.5,7496.25,21.18000030517578,78.21076965332031
2019-08-16,2891.5,7611.75,18.469999313354492,79.01432800292969
2019-08-19,2923.75,7727.5,16.8799991607666,79.81783294677734
2019-08-20,2898.25,7668.0,17.5,79.38037872314453
2019-08-21,2929.25,7750.25,15.800000190734863,80.09461212158203
2019-08-22,2922.25,7711.25,16.68000030517578,79.85356903076172
2019-08-23,2855.5,7504.5,19.8700008392334,78.13934326171875
2019-08-26,2883.25,7590.5,19.31999969482422,78.96075439453125
2019-08-27,2865.5,7562.75,20.309999465942383,78.78218078613281
2019-08-28,2889.75,7599.25,19.350000381469727,79.08573913574219
2019-08-29,2926.75,7712.0,17.8799991607666,80.0142593383789
2019-08-30,2924.75,7690.75,18.979999542236328,80.21070098876953
2019-09-03,2906.0,7617.5,19.65999984741211,79.71964263916016
2019-09-04,2938.5,7722.75,17.329999923706055,80.66603088378906
2019-09-05,2972.0,7855.5,16.270000457763672,81.57669067382812
2019-09-06,2980.75,7857.75,15.0,81.71060943603516
2019-09-09,2978.25,7830.75,15.270000457763672,81.73739624023438
2019-09-10,2978.5,7815.0,15.199999809265137,81.94275665283203
2019-09-11,3002.0,7889.75,14.609999656677246,82.2105941772461
2019-09-12,3011.75,7921.5,14.220000267028809,82.64808654785156
2019-09-13,3006.5,7886.0,13.739999771118164,82.63021850585938
2019-09-16,2999.0,7856.5,14.670000076293945,82.3980941772461
2019-09-17,3005.5,7890.25,14.4399995803833,82.67485809326172
2019-09-18,3006.25,7894.25,13.949999809265137,82.72843170166016
2019-09-19,3006.0,7896.25,14.050000190734863,82.8266372680664
2019-09-20,3013.610107421875,7899.47998046875,15.319999694824219,82.47843933105469
2019-09-23,2997.0,7850.5,14.90999984741211,82.33557891845703
2019-09-24,2970.25,7735.25,17.049999237060547,81.84454345703125
2019-09-25,2986.25,7820.25,15.960000038146973,82.07667541503906
2019-09-26,2980.5,7787.25,16.06999969482422,82.1213150024414
2019-09-27,2963.75,7701.25,17.219999313354492,81.76417541503906
2019-09-30,2978.5,7770.5,16.239999771118164,81.94275665283203
2019-10-01,2937.75,7695.5,18.559999465942383,81.08563995361328
2019-10-02,2880.5,7546.25,20.559999465942383,79.47857666015625
2019-10-03,2911.75,7658.5,19.1200008392334,80.2642593383789
2019-10-04,2951.0,7767.25,17.040000915527344,81.0588607788086
2019-10-07,2937.5,7740.0,17.860000610351562,81.01422119140625
2019-10-08,2892.5,7622.0,20.280000686645508,79.85356903076172
2019-10-09,2919.0,7699.75,18.639999389648438,80.33568572998047
2019-10-10,2941.0,7760.25,17.56999969482422,81.04100799560547
2019-10-11,2970.75,7859.0,15.579999923706055,82.09453582763672
2019-10-14,2965.5,7857.5,14.569999694824219,81.95167541503906
2019-10-15,2997.75,7959.75,13.539999961853027,82.77307891845703
2019-10-16,2991.5,7948.5,13.680000305175781,82.5945053100586
2019-10-17,2998.0,7952.75,13.789999961853027,83.0855484008789
2019-10-18,2988.25,7880.75,14.25,82.7195053100586
2019-10-21,3006.5,7948.25,14.0,83.21054077148438
2019-10-22,2994.5,7858.75,14.460000038146973,82.84449768066406
2019-10-23,3005.75,7901.5,14.010000228881836,83.24626159667969
2019-10-24,3004.25,7928.25,13.710000038146973,83.4694595336914
2019-10-25,3020.25,8035.75,12.649999618530273,83.67481231689453
2019-10-28,3036.25,8094.75,13.109999656677246,84.01409149169922
2019-10-29,3035.75,8055.25,13.199999809265137,84.11229705810547
2019-10-30,3047.75,8111.25,12.329999923706055,84.42479705810547
2019-10-31,3035.75,8090.25,13.220000267028809,84.03194427490234
2019-11-01,3063.25,8160.25,12.300000190734863,84.91583251953125
2019-11-04,3075.75,8215.75,12.829999923706055,85.19259643554688
2019-11-05,3072.0,8210.75,13.100000381469727,85.21936798095703
2019-11-06,3075.5,8207.25,12.619999885559082,85.2461929321289
2019-11-07,3086.0,8230.5,12.729999542236328,85.4068832397461
2019-11-08,3090.5,8257.25,12.069999694824219,85.49616241455078
2019-11-11,3087.5,8249.75,12.6899995803833,85.44259643554688
2019-11-12,3092.0,8275.0,12.680000305175781,85.5765151977539
2019-11-13,3095.5,8265.75,13.0,85.53189086914062
2019-11-14,3097.0,8265.5,13.050000190734863,85.41582489013672
2019-11-15,3118.25,8318.75,12.050000190734863,86.13899993896484
2019-11-18,3121.75,8333.5,12.460000038146973,86.05864715576172
2019-11-19,3118.5,8341.5,12.859999656677246,86.13005828857422
2019-11-20,3109.0,8291.75,12.779999732971191,85.71937561035156
2019-11-21,3104.0,8274.5,13.130000114440918,85.5051040649414
2019-11-22,3111.5,8280.5,12.34000015258789,85.68366241455078
2019-11-25,3132.75,8376.5,11.869999885559082,86.3622055053711
2019-11-26,3143.75,8400.75,11.539999961853027,86.4336166381836
2019-11-27,3153.75,8454.75,11.75,86.91573333740234
2019-11-29,3143.75,8417.5,12.619999885559082,86.38899230957031
2019-12-02,3114.25,8316.0,14.90999984741211,85.84436798095703
2019-12-03,3091.0,8251.25,15.960000038146973,85.36223602294922
2019-12-04,3111.0,8295.25,14.800000190734863,85.94257354736328
2019-12-05,3117.75,8309.25,14.520000457763672,86.0497055053711
2019-12-06,3146.0,8400.25,13.619999885559082,86.69255065917969
2019-12-09,3134.5,8356.0,15.859999656677246,86.38004302978516
2019-12-10,3136.0,8363.75,15.680000305175781,86.3443374633789
2019-12-11,3143.0,8405.5,14.989999771118164,86.7371826171875
2019-12-12,3168.0,8465.25,13.9399995803833,87.27287292480469
2019-12-13,3172.0,8494.0,12.630000114440918,87.66571044921875
2019-12-16,3194.25,8576.0,12.140000343322754,88.37316131591797
2019-12-17,3192.0,8576.25,12.289999961853027,88.11178588867188
2019-12-18,3194.75,8590.25,12.579999923706055,88.0577392578125
2019-12-19,3207.0,8642.5,12.5,88.35513305664062
2019-12-20,3231.02001953125,8707.4599609375,12.510000228881836,88.77869415283203
2019-12-23,3227.25,8726.5,12.609999656677246,88.75167083740234
2019-12-24,3225.75,8729.5,12.670000076293945,88.7967529296875
2019-12-26,3244.5,8804.25,12.649999618530273,89.13018798828125
2019-12-27,3237.5,8783.25,13.430000305175781,89.28337860107422
2019-12-30,3223.5,8733.75,14.819999694824219,88.61648559570312
2019-12-31,3231.0,8752.25,13.779999732971191,89.02204132080078
2020-01-02,3259.0,8891.75,12.470000267028809,89.69794464111328
2020-01-03,3235.5,8810.0,14.020000457763672,88.94092559814453
2020-01-06,3243.5,8847.5,13.850000381469727,89.44561004638672
2020-01-07,3235.25,8853.0,13.789999961853027,89.2112808227539
2020-01-08,3260.25,8944.5,13.449999809265137,89.46363067626953
2020-01-09,3276.0,9009.0,12.539999961853027,89.97732543945312
2020-01-10,3264.75,8978.25,12.5600004196167,89.61682891845703
2020-01-13,3289.75,9088.25,12.319999694824219,90.19361114501953
2020-01-14,3288.0,9062.5,12.390000343322754,90.01337432861328
2020-01-15,3293.75,9060.0,12.420000076293945,90.13953399658203
2020-01-16,3316.5,9133.5,12.319999694824219,90.86051940917969
2020-01-17,3325.0,9174.5,12.100000381469727,91.16694641113281
2020-01-21,3319.5,9169.75,12.850000381469727,90.68928527832031
2020-01-22,3319.75,9195.75,12.90999984741211,90.85150146484375
2020-01-23,3326.0,9248.25,12.979999542236328,90.77941131591797
2020-01-24,3293.5,9144.5,14.5600004196167,90.17558288574219
2020-01-27,3239.5,8954.5,18.229999542236328,88.63451385498047
2020-01-28,3278.25,9105.25,16.280000686645508,89.4546127319336
2020-01-29,3272.5,9098.5,16.389999389648438,89.48165130615234
2020-01-30,3289.75,9216.25,15.489999771118164,89.61682891845703
2020-01-31,3224.0,8997.75,18.84000015258789,88.07575988769531
2020-02-03,3245.5,9114.25,17.969999313354492,88.55340576171875
2020-02-04,3299.5,9355.0,16.049999237060547,90.13054656982422
2020-02-05,3335.0,9381.5,15.149999618530273,90.96865844726562
2020-02-06,3345.25,9455.5,14.960000038146973,91.29310607910156
2020-02-07,3325.5,9409.5,15.470000267028809,90.68928527832031
2020-02-10,3353.0,9527.5,15.039999961853027,91.14889526367188
2020-02-11,3357.5,9527.25,15.180000305175781,91.57247161865234
2020-02-12,3380.5,9625.75,13.739999771118164,92.03208923339844
2020-02-13,3377.5,9613.0,14.149999618530273,91.73469543457031
2020-02-14,3381.0,9632.25,13.680000305175781,91.85185241699219
2020-02-18,3369.25,9636.0,14.829999923706055,91.59049987792969
2020-02-19,3387.25,9733.5,14.380000114440918,91.95098114013672
2020-02-20,3369.25,9624.25,15.5600004196167,91.56346893310547
2020-02-21,3339.25,9458.0,17.079999923706055,90.92359924316406
2020-02-24,3226.25,9091.0,25.030000686645508,87.76935577392578
2020-02-25,3132.5,8854.25,27.850000381469727,85.41717529296875
2020-02-26,3110.25,8850.25,27.559999465942383,85.16484832763672
2020-02-27,2957.0,8382.75,39.15999984741211,81.98355865478516
2020-02-28,2951.0,8454.0,40.11000061035156,80.81195831298828
2020-03-02,3065.0,8791.25,33.41999816894531,84.0202865600586
2020-03-03,2997.0,8582.5,36.81999969482422,82.12774658203125
2020-03-04,3114.75,8896.5,31.989999771118164,85.25495147705078
2020-03-05,3015.5,8648.75,39.619998931884766,82.66846466064453
2020-03-06,2964.0,8503.25,41.939998626708984,81.37973022460938
2020-03-09,2747.75,7951.5,54.459999084472656,74.6386489868164
2020-03-10,2865.75,8331.5,47.29999923706055,78.00017547607422
2020-03-11,2740.25,8003.5,53.900001525878906,74.11592864990234
2020-03-12,2469.0,7215.25,75.47000122070312,66.38351440429688
2020-03-13,2696.0,7915.75,57.83000183105469,71.76377868652344
2020-03-16,2416.25,7057.5,82.69000244140625,63.5987548828125
2020-03-17,2495.5,7405.25,75.91000366210938,67.20360565185547
2020-03-18,2414.0,7225.25,76.44999694824219,63.46358108520508
2020-03-19,2403.25,7293.5,72.0,63.94122314453125
2020-03-20,2437.97998046875,7417.97998046875,66.04000091552734,61.85040283203125
2020-03-23,2220.5,6984.5,61.59000015258789,60.732879638671875
2020-03-24,2438.0,7554.75,61.66999816894531,66.25733947753906
2020-03-25,2467.0,7467.75,63.95000076293945,67.44694519042969
2020-03-26,2608.0,7844.0,61.0,71.2140121459961
2020-03-27,2524.0,7568.5,65.54000091552734,69.0511245727539
2020-03-30,2611.25,7854.75,57.08000183105469,70.86255645751953
2020-03-31,2569.75,7786.25,53.540000915527344,70.2317123413086
2020-04-01,2448.0,7438.75,57.060001373291016,67.05040740966797
2020-04-02,2516.5,7627.25,50.90999984741211,68.42928314208984
2020-04-03,2482.75,7522.75,46.79999923706055,67.38385772705078
2020-04-06,2644.5,8029.75,45.2400016784668,71.63758850097656
2020-04-07,2642.0,8012.0,46.70000076293945,71.76377868652344
2020-04-08,2735.0,8189.75,43.349998474121094,73.47606658935547
2020-04-09,2779.75,8227.5,41.66999816894531,74.81887817382812
2020-04-13,2759.25,8327.25,41.16999816894531,74.18805694580078
2020-04-14,2843.0,8692.5,37.7599983215332,76.05355072021484
2020-04-15,2775.0,8594.0,40.84000015258789,74.33223724365234
2020-04-16,2787.5,8734.25,40.11000061035156,74.53048706054688
2020-04-17,2870.0,8809.0,38.150001525878906,76.48615264892578
2020-04-20,2806.5,8692.0,43.83000183105469,75.39566040039062
2020-04-21,2732.0,8431.75,45.40999984741211,73.3228759765625
2020-04-22,2788.5,8638.0,41.97999954223633,74.77383422851562
2020-04-23,2780.75,8598.75,41.380001068115234,74.73777770996094
2020-04-24,2829.5,8769.0,35.93000030517578,75.56688690185547
2020-04-27,2869.0,8824.25,33.290000915527344,76.70242309570312
2020-04-28,2867.25,8719.75,33.56999969482422,76.74748992919922
2020-04-29,2941.0,9036.5,31.229999542236328,78.77522277832031
2020-04-30,2902.5,8988.5,34.150001525878906,77.82894134521484
2020-05-01,2821.75,8718.0,37.189998626708984,75.81922912597656
2020-05-04,2825.25,8795.5,35.970001220703125,75.97242736816406
2020-05-05,2858.25,8924.25,33.61000061035156,76.38700866699219
2020-05-06,2833.5,8952.0,34.119998931884766,75.88231658935547
2020-05-07,2880.0,9107.75,31.440000534057617,76.88265991210938
2020-05-08,2928.5,9218.25,27.979999542236328,78.41474914550781
2020-05-11,2922.75,9279.0,27.56999969482422,78.45980072021484
2020-05-12,2852.5,9078.25,33.040000915527344,76.99080657958984
2020-05-13,2813.0,8992.25,35.279998779296875,75.79219818115234
2020-05-14,2847.0,9079.5,32.61000061035156,76.15267944335938
2020-05-15,2846.5,9096.5,31.889999389648438,76.48615264892578
2020-05-18,2948.0,9325.5,29.299999237060547,78.95545959472656
2020-05-19,2918.75,9300.75,30.530000686645508,78.10831451416016
2020-05-20,2968.5,9485.5,27.989999771118164,79.541259765625
2020-05-21,2937.0,9355.75,29.530000686645508,78.8022689819336
2020-05-22,2953.0,9406.25,28.15999984741211,78.82028198242188
2020-05-26,2994.5,9406.5,28.010000228881836,80.28925323486328
2020-05-27,3035.5,9432.5,27.6200008392334,81.45182800292969
2020-05-28,3038.0,9460.25,28.59000015258789,81.60502624511719
2020-05-29,3042.0,9560.25,27.510000228881836,81.7402114868164
2020-06-01,3054.0,9595.0,28.229999542236328,82.60537719726562
2020-06-02,3077.0,9647.75,26.84000015258789,83.34439086914062
2020-06-03,3117.75,9684.75,25.65999984741211,84.6691665649414
2020-06-04,3110.5,9626.25,25.809999465942383,84.3447265625
2020-06-05,3186.75,9808.5,24.520000457763672,86.27333068847656
2020-06-08,3227.5,9884.75,25.809999465942383,87.3277587890625
2020-06-09,3205.5,9951.0,27.56999969482422,86.51663970947266
2020-06-10,3186.0,10087.25,27.56999969482422,86.20123291015625
2020-06-11,3010.25,9616.75,40.790000915527344,81.30763244628906
2020-06-12,3034.75,9645.0,36.09000015258789,82.48822784423828
2020-06-15,3073.0,9800.5,34.400001525878906,83.15186309814453
2020-06-16,3128.75,9972.5,33.66999816894531,84.53561401367188
2020-06-17,3118.0,9994.5,33.470001220703125,84.45367431640625
2020-06-18,3109.0,9995.75,32.939998626708984,84.38996887207031
2020-06-19,3161.260009765625,10120.83984375,35.119998931884766,83.96208953857422
2020-06-22,3110.75,10124.75,31.770000457763672,84.65397644042969
2020-06-23,3118.5,10196.0,31.3700008392334,85.02721405029297
2020-06-24,3049.0,10010.75,33.84000015258789,82.83324432373047
2020-06-25,3070.75,10088.25,32.220001220703125,83.88016510009766
2020-06-26,3007.0,9865.5,34.72999954223633,82.0776596069336
2020-06-29,3047.75,9973.75,31.780000686645508,83.06993103027344
2020-06-30,3090.25,10147.25,30.43000030517578,83.88016510009766
2020-07-01,3103.0,10268.75,28.6200008392334,84.3535385131836
2020-07-02,3129.0,10355.75,27.68000030517578,84.99079895019531
2020-07-06,3172.0,10598.5,27.940000534057617,86.30171203613281
2020-07-07,3136.5,10532.25,29.43000030517578,85.40045166015625
2020-07-08,3163.5,10662.25,28.079999923706055,86.12874603271484
2020-07-09,3141.0,10727.5,29.260000228881836,85.55521392822266
2020-07-10,3178.5,10837.25,27.290000915527344,86.4200439453125
2020-07-13,3148.25,10600.0,32.189998626708984,85.64624786376953
2020-07-14,3183.5,10646.25,29.520000457763672,86.82970428466797
2020-07-15,3219.5,10683.25,27.760000228881836,87.74006652832031
2020-07-16,3194.5,10511.75,28.0,87.33950805664062
2020-07-17,3214.0,10622.5,25.68000030517578,87.62171173095703
2020-07-20,3245.25,10951.0,24.459999084472656,88.30448150634766
2020-07-21,3251.25,10851.0,24.84000015258789,88.47745513916016
2020-07-22,3265.5,10804.25,24.31999969482422,88.90532684326172
2020-07-23,3227.5,10548.25,26.079999923706055,87.90392303466797
2020-07-24,3204.0,10459.0,25.84000015258789,87.35771942138672
2020-07-27,3232.25,10675.25,24.739999771118164,88.19523620605469
2020-07-28,3213.0,10540.0,25.440000534057617,87.62171173095703
2020-07-29,3252.5,10674.25,24.100000381469727,88.64132690429688
2020-07-30,3248.75,10794.0,24.760000228881836,88.11331176757812
2020-07-31,3263.5,10890.5,24.459999084472656,87.9858627319336
2020-08-03,3288.5,11044.25,24.280000686645508,88.93263244628906
2020-08-04,3300.0,11086.0,23.760000228881836,89.35138702392578
2020-08-05,3316.0,11091.75,22.989999771118164,89.89759826660156
2020-08-06,3344.25,11261.25,22.649999618530273,90.2708511352539
2020-08-07,3344.75,11122.75,22.209999084472656,89.98863983154297
2020-08-10,3352.75,11072.0,22.1299991607666,90.25263977050781
2020-08-11,3330.0,10878.5,24.030000686645508,89.87940979003906
2020-08-12,3370.0,11126.0,22.280000686645508,91.3450698852539
2020-08-13,3367.75,11175.25,22.1299991607666,91.25403594970703
2020-08-14,3361.5,11133.75,22.049999237060547,91.00825500488281
2020-08-17,3379.75,11286.75,21.350000381469727,91.6181640625
2020-08-18,3387.0,11409.25,21.510000228881836,91.73651885986328
2020-08-19,3372.75,11332.0,22.540000915527344,91.31776428222656
2020-08-20,3380.75,11477.25,22.719999313354492,91.50892639160156
2020-08-21,3392.5,11562.0,22.540000915527344,91.57266235351562
