timestamp,open,high,low,close,volume
2026-08-07 22:00:00,1916.55,1916.56,1913.92,1914.84,3447.6054
2026-08-07 23:00:00,1914.84,1916.41,1913.92,1914.18,1515.2869
2026-08-08 00:00:00,1914.19,1915.1,1912.5,1914.35,2385.6366
2026-08-08 01:00:00,1914.36,1916.62,1914.04,1914.65,3177.8497
2026-08-08 02:00:00,1914.66,1914.66,1912.27,1913.18,1370.5073
2026-08-08 03:00:00,1913.18,1919.02,1913.17,1918.08,2097.6249
2026-08-08 04:00:00,1918.09,1919.58,1916.4,1917.0,2245.9862
2026-08-08 05:00:00,1917.0,1918.78,1915.81,1917.56,1176.4942
2026-08-08 06:00:00,1917.55,1917.89,1916.17,1916.44,1409.709
2026-08-08 07:00:00,1916.45,1916.75,1914.0,1915.11,1799.6535
2026-08-08 08:00:00,1915.11,1917.73,1914.58,1916.85,1481.4706
2026-08-08 09:00:00,1916.85,1923.22,1916.25,1918.95,3514.2564
2026-08-08 10:00:00,1918.94,1922.72,1918.94,1921.17,2167.1079
2026-08-08 11:00:00,1921.18,1923.57,1919.53,1920.99,2555.556
2026-08-08 12:00:00,1920.99,1922.47,1918.7,1919.19,2376.3197
2026-08-08 13:00:00,1919.2,1920.55,1918.61,1920.0,1981.2186
2026-08-08 14:00:00,1920.0,1926.72,1919.99,1923.77,5059.4611
2026-08-08 15:00:00,1923.78,1924.56,1921.35,1922.62,2945.8968
2026-08-08 16:00:00,1922.63,1925.0,1921.65,1922.46,2239.3085
2026-08-08 17:00:00,1922.45,1926.45,1922.25,1923.85,3927.5413
2026-08-08 18:00:00,1923.84,1923.84,1919.77,1921.1,2781.192
2026-08-08 19:00:00,1921.1,1921.54,1919.67,1920.41,1779.511
2026-08-08 20:00:00,1920.41,1921.21,1919.95,1920.39,1344.3956
2026-08-08 21:00:00,1920.39,1922.73,1920.27,1920.82,1842.5995
2026-08-08 22:00:00,1920.82,1921.59,1916.66,1916.75,2433.2468
2026-08-08 23:00:00,1916.74,1919.0,1914.69,1916.74,2779.8499
2026-08-09 00:00:00,1916.75,1918.66,1916.34,1918.09,2792.4612
2026-08-09 01:00:00,1918.08,1920.21,1913.37,1916.14,2176.0306
2026-08-09 02:00:00,1916.15,1916.71,1913.64,1914.8,1341.9749
2026-08-09 03:00:00,1914.79,1914.79,1912.36,1914.04,2034.9863
2026-08-09 04:00:00,1914.04,1915.63,1912.99,1913.16,1394.2198
2026-08-09 05:00:00,1913.17,1915.04,1913.11,1914.46,1455.4914
