task,asset,category,timeframe,horizon_bars,variant,split,status,reason,return_pct,sharpe,sortino,max_drawdown_pct,profit_factor,expectancy_pct,win_rate_pct,average_win_pct,average_loss_pct,trades,coverage_pct,turnover,fees_pct,funding_pct,directional_accuracy_pct,mae_pct,range_coverage_pct,chronos_load_seconds,chronos_mean_inference_seconds,chronos_forecasts,mc_status,mc_runs,mc_median_return_pct,mc_return_p05_pct,mc_return_p95_pct,mc_median_max_drawdown_pct,mc_max_drawdown_p95_pct,mc_probability_negative_pct,mc_worst_drawdown_pct
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-56.33383656571168,-0.5935078593627177,-0.4647124080513438,-74.91456470094579,0.9172022841769564,-0.1418234390172146,28.62903225806452,5.487671627100896,-2.3999824768386047,248.0,34.19938193888063,495.0,27.225000000000005,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-45.45327910003613,-0.7967704619847219,-0.6432758321767907,-66.94914372238313,0.8974201307841796,-0.1277753836551951,23.93162393162393,4.670987341490855,-1.6374984881955257,234.0,33.04716117216117,471.0,25.905,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-6.46190669702148,0.2457399167161534,0.2156563886445248,-51.67882321405764,1.0862336450491628,0.1131768520563447,34.49612403100775,4.132699389796952,-2.003613123440188,258.0,36.22874101130008,516.0,28.38,0.0,,,,,,,,,,,,,,,
BTC Intraday,BTC/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-41.53198966669616,-0.2714129783198746,-0.2456149885634338,-62.76911828320784,1.0133527632534445,0.0146605371009697,34.23799582463465,3.2496085881485457,-1.669566384714276,479.0,36.86895455147741,957.0,52.635,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF1,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-72.77043531775371,-0.6093364299854311,-0.5116248363371828,-83.76291005481814,0.8969487242648527,-0.2283401109208618,32.69230769230769,6.079262184457892,-3.292032654390541,260.0,37.39269772233032,519.0,28.545000000000005,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF2,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-64.68716646732726,-1.414877790611478,-1.2542968790379638,-72.23536351706808,0.7814003961282495,-0.2917604182880637,29.296875,3.55983059505751,-1.887723545364959,256.0,36.87042124542125,514.0,28.777915348107687,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,WF3,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-0.1404295024932222,0.4071630178170061,0.3641777218583056,-61.04544080559688,1.109529834243831,0.1791868451572601,33.59683794466403,5.402742544244403,-2.463683597833259,253.0,36.93642278278735,508.0,27.954007229890887,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_ONLY,FINAL_HOLDOUT,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,55.88785954769595,0.7257612410196809,0.6746930038487093,-60.37371924456555,1.2059694611393432,0.357586643143954,33.33333333333333,6.281104523323454,-2.604172296945796,441.0,35.212667285013914,881.0,48.65449564984442,0.0,,,,,,,TESTED,5000.0,-53.83788316851368,-92.29306394900397,192.01827628769692,80.12547009820267,95.24843480976918,74.92,98.97746927672618
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF1,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-61.46886357463404,-1.122047087427456,-0.5373559306616419,-73.02899142140349,0.6723766420013608,-0.8440254469991302,31.818181818181817,5.443997811668875,-3.778436301044199,88.0,13.44855213459998,176.0,9.68,0.0,50.47619047619048,1.3778403412961018,80.47619047619048,2.299999323440716e-06,0.0245452850000089,840.0,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF2,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-46.60128422280877,-2.0415203235326405,-0.8111411286569884,-48.67252713819829,0.4592377553112114,-0.7322548185621246,25.0,2.48744480588373,-1.805488026710743,76.0,9.031593406593409,152.0,8.377074211115175,0.0,50.47619047619048,1.3778403412961018,80.47619047619048,2.299999323440716e-06,0.0245452850000089,840.0,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_CHRONOS,WF3,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-13.278453338820118,-0.1257200582769621,-0.0587172639350307,-30.78460949576776,0.975014068286914,-0.0386886019205937,37.03703703703704,4.0762624058950285,-2.4592480182827243,81.0,11.973519004679831,162.0,8.910000000000002,0.0,50.47619047619048,1.3778403412961018,80.47619047619048,2.299999323440716e-06,0.0245452850000089,840.0,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_CHRONOS,FINAL_HOLDOUT,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-50.929672489945474,-0.4677520490339627,-0.2769335109795726,-79.08805753226568,0.9486524627384634,-0.0944182233939941,31.308411214953267,5.571630597899552,-2.6769030603101003,214.0,16.092487080959323,428.0,23.548753178816003,0.0,50.47619047619048,1.3778403412961018,80.47619047619048,2.299999323440716e-06,0.0245452850000089,840.0,TESTED,5000.0,-41.54022721742085,-77.54313717615618,60.98639335395953,60.81688678834074,82.06134226881977,81.12,94.50475338500124
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-72.77043531775371,-0.6093364299854311,-0.5116248363371828,-83.76291005481814,0.8969487242648527,-0.2283401109208618,32.69230769230769,6.079262184457892,-3.292032654390541,260.0,37.39269772233032,519.0,28.545000000000005,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-64.68716646732726,-1.414877790611478,-1.2542968790379638,-72.23536351706808,0.7814003961282495,-0.2917604182880637,29.296875,3.55983059505751,-1.887723545364959,256.0,36.87042124542125,514.0,28.777915348107687,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-0.1404295024932222,0.4071630178170061,0.3641777218583056,-61.04544080559688,1.109529834243831,0.1791868451572601,33.59683794466403,5.402742544244403,-2.463683597833259,253.0,36.93642278278735,508.0,27.954007229890887,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",55.88785954769595,0.7257612410196809,0.6746930038487093,-60.37371924456555,1.2059694611393432,0.357586643143954,33.33333333333333,6.281104523323454,-2.604172296945796,441.0,35.212667285013914,881.0,48.65449564984442,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-72.77043531775371,-0.6093364299854311,-0.5116248363371828,-83.76291005481814,0.8969487242648527,-0.2283401109208618,32.69230769230769,6.079262184457892,-3.292032654390541,260.0,37.39269772233032,519.0,28.545000000000005,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-64.68716646732726,-1.414877790611478,-1.2542968790379638,-72.23536351706808,0.7814003961282495,-0.2917604182880637,29.296875,3.55983059505751,-1.887723545364959,256.0,36.87042124542125,514.0,28.777915348107687,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",-0.1404295024932222,0.4071630178170061,0.3641777218583056,-61.04544080559688,1.109529834243831,0.1791868451572601,33.59683794466403,5.402742544244403,-2.463683597833259,253.0,36.93642278278735,508.0,27.954007229890887,0.0,,,,,,,,,,,,,,,
ETH Intraday,ETH/USDT,INTRADAY,1h,4,RULE_TCN_CHRONOS,FINAL_HOLDOUT,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 1h task cadence; final checkpoint inference would be leaky.",55.88785954769595,0.7257612410196809,0.6746930038487093,-60.37371924456555,1.2059694611393432,0.357586643143954,33.33333333333333,6.281104523323454,-2.604172296945796,441.0,35.212667285013914,881.0,48.65449564984442,0.0,,,,,,,NOT_RUN_MODEL_UNAVAILABLE,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_ONLY,WF1,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,3.698665178764049,0.4505549537343842,0.3523432250611901,-65.42657995079976,1.192439207942121,0.6099574602927375,33.33333333333333,11.3387058480611,-4.754416733591445,60.0,30.755148741418765,119.0,6.544999999999999,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_ONLY,WF2,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,75.81653349582582,1.3059540695828085,1.0717158708781611,-32.348680138237754,1.689249186590413,1.6198157945132043,36.53846153846153,10.865077495325425,-3.7032136695908,52.0,35.56064073226545,104.0,5.72,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_ONLY,WF3,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-27.112517982032013,-0.1889784064909137,-0.1794806407774965,-62.28411675935751,0.9756997159554546,-0.0643311371490442,30.136986301369863,8.570896211017958,-3.789331169691672,73.0,42.94842537654039,146.0,8.03,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_ONLY,FINAL_HOLDOUT,EVALUATED,Rule-only baseline; zero funding assumption applied equally.,-65.39178318222406,-0.906355320808384,-0.8124895173332368,-72.03704713164184,0.7610039745663,-0.5934345381534362,30.23255813953488,6.2502036555394005,-3.5590110887536643,129.0,36.35882508600159,257.0,14.135,0.0,,,,,,,TESTED,5000.0,-2.251595699508541,-77.89662733420842,326.0794115125013,62.69683421893966,86.30771887852309,51.18000000000001,98.03774187722776
BTC Swing,BTC/USDT,SWING,4h,42,RULE_CHRONOS,WF1,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-30.840346628399327,-0.6888702696154458,-0.2673386144890392,-52.26005843583344,0.6341994266049001,-1.422701119550012,23.809523809523807,10.35963434576613,-5.104680952461306,21.0,8.60411899313501,42.0,2.31,0.0,45.36082474226804,7.668507694061859,74.22680412371135,2.000000677071512e-06,0.0258122846153781,195.0,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_CHRONOS,WF2,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,96.95924113159856,1.85321897524155,0.9162092070289256,-28.34385125940635,2.81752617946136,5.805556762585738,46.66666666666666,19.28521032337076,-5.989140103101155,15.0,15.011441647597254,30.0,1.65,0.0,45.36082474226804,7.668507694061859,74.22680412371135,2.000000677071512e-06,0.0258122846153781,195.0,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_CHRONOS,WF3,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-27.643681401045583,-0.5240173245195214,-0.4010417617724418,-52.46580721587824,0.8255333738911332,-0.4321339931122214,29.545454545454547,6.920700059282157,-3.515580531213089,44.0,26.882701962574167,88.0,4.84,0.0,45.36082474226804,7.668507694061859,74.22680412371135,2.000000677071512e-06,0.0258122846153781,195.0,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_CHRONOS,FINAL_HOLDOUT,EVALUATED,Causal Chronos-2 entry-direction gate; identical downstream execution/risk/cost path.,-16.315970984249383,-0.1802108479315216,-0.1162619589664812,-38.425144085858285,0.9471256918812936,-0.1018417103199583,33.33333333333333,5.472803547572443,-2.8891643392661592,60.0,16.432918761577138,120.0,6.6000000000000005,0.0,45.36082474226804,7.668507694061859,74.22680412371135,2.000000677071512e-06,0.0258122846153781,195.0,TESTED,5000.0,22.50697614548353,-55.73009495741139,248.38312422991692,43.33763401567001,68.27834034480854,37.32,86.0687579168702
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN,WF1,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",3.698665178764049,0.4505549537343842,0.3523432250611901,-65.42657995079976,1.192439207942121,0.6099574602927375,33.33333333333333,11.3387058480611,-4.754416733591445,60.0,30.755148741418765,119.0,6.544999999999999,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN,WF2,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",75.81653349582582,1.3059540695828085,1.0717158708781611,-32.348680138237754,1.689249186590413,1.6198157945132043,36.53846153846153,10.865077495325425,-3.7032136695908,52.0,35.56064073226545,104.0,5.72,0.0,,,,,,,,,,,,,,,
BTC Swing,BTC/USDT,SWING,4h,42,RULE_TCN,WF3,MODEL_UNAVAILABLE,"TCN OOS cadence is 0 days 00:05:00, not the 4h task cadence; final checkpoint inference would be leaky.",-27.112517982032013,-0.1889784064909137,-0.1794806407774965,-62.28411675935751,0.9756997159554546,-0.0643311371490442,30.136986301369863,8.570896211017958,-3.789331169691672,73.0,42.94842537654039,146.0,8.03,0.0,,,,,,,,,,,,,,,
