symbol,candidate_id,family,stop_atr_multiple,parameter_stability,robust,validation_sharpe,validation_return_pct,walk_forward_median_sharpe,oos_sharpe,oos_return_pct,oos_max_drawdown_pct,stress_median_sharpe,stress_profitable_pct,trades,dynamic_leverage_sharpe,dynamic_leverage_return_pct,dynamic_leverage_max_drawdown_pct,dynamic_leverage_no_trade_or_below_1x_pct
BTC/USDT,donchian_40_15,donchian_trend,3.0,0.0,False,0.045503484084475784,-5.13906125786222,-0.2809037438303765,-0.7708199707061127,-45.865951809578206,-59.81591648837649,-0.014942120832481295,41.0,251,,,,
BTC/USDT,donchian_40_20,donchian_trend,3.0,0.0,False,-0.2004013855396299,-15.806268862212447,-0.35005952647244154,-0.7543515984738783,-46.54053317207417,-64.16338403518071,-0.10512018629823605,31.5,225,,,,
BTC/USDT,donchian_55_15,donchian_trend,3.0,0.0,False,-0.3443575164028538,-19.732412166196546,-0.4727950232551902,-0.8840100973083035,-48.547463908525565,-59.38056669836376,-0.19605573527867612,20.0,232,,,,
BTC/USDT,donchian_55_20,donchian_trend,3.0,0.0,False,-0.49458576450601677,-25.90971809161714,-0.6571769137320813,-0.747684858233847,-45.43920422116406,-62.15237239596881,-0.28810435691220004,22.5,207,,,,
BTC/USDT,donchian_80_15,donchian_trend,3.0,0.0,False,-0.16233563617228075,-12.526962373905459,-0.186925808286442,-0.7644707236794993,-42.410456576713095,-56.6052100900272,0.10211049509435866,41.5,199,,,,
BTC/USDT,donchian_80_20,donchian_trend,3.0,0.0,False,-0.4464375825562761,-23.5426378844547,-0.24889683695720155,-0.4760169890312777,-33.06959378541707,-56.55970465360545,0.11191454329580652,40.0,178,,,,
BTC/USDT,ema_12_50_6_0.002,ema_momentum,2.5,0.0,False,-3.8173344473791055,-86.19627164301968,-3.1984450925426384,-3.0760770152499877,-89.62526044209828,-91.13183917770627,-3.207379341980289,0.0,1571,,,,
BTC/USDT,ema_12_50_6_0.004,ema_momentum,2.5,0.0,False,-2.923705438202161,-77.42515253251761,-2.572835090284296,-2.7947013346193548,-86.28150748356055,-88.23168973355727,-2.6041221915572956,0.0,1285,,,,
BTC/USDT,ema_12_50_12_0.002,ema_momentum,2.5,0.0,False,-1.9211784181517475,-66.11591830076782,-1.6385542800817736,-1.5470278132818507,-71.5234463631782,-78.90376095801297,-1.6551178041887962,0.0,1143,,,,
BTC/USDT,ema_12_50_12_0.004,ema_momentum,2.5,0.0,False,-1.1506619492879784,-48.86751249159348,-1.2361640149528315,-1.412570941036174,-67.74598947632408,-77.57416013958728,-1.0144079805780124,3.5000000000000004,972,,,,
BTC/USDT,ema_12_100_6_0.002,ema_momentum,2.5,0.0,False,-3.31224371233852,-81.82825441217052,-2.9236411774499507,-2.9692983496501717,-88.44075006179763,-90.10971676768149,-2.824103265294966,0.0,1527,,,,
BTC/USDT,ema_12_100_6_0.004,ema_momentum,2.5,0.0,False,-2.527325449167852,-72.12309764667839,-2.5674225181539745,-2.8119614972911515,-86.03419038805036,-87.93883965158759,-2.380519009715258,0.0,1238,,,,
BTC/USDT,ema_12_100_12_0.002,ema_momentum,2.5,0.0,False,-1.5238558305425418,-57.42192880952219,-1.637131628479156,-1.8469709895510729,-76.07451895255565,-81.0170645401863,-1.4441377455302775,10.5,1092,,,,
BTC/USDT,ema_12_100_12_0.004,ema_momentum,2.5,0.0,False,-0.7924795456423313,-37.95862201252341,-1.259528998269836,-1.4891935948076502,-68.29856239099864,-76.67259993127638,-0.8489524063296818,15.5,910,,,,
BTC/USDT,ema_20_50_6_0.002,ema_momentum,2.5,0.0,False,-3.6632571971809504,-84.7541125733569,-3.140449046106254,-2.8723060333118062,-87.70737362099426,-89.4990309419619,-3.0823031897727526,0.0,1536,,,,
BTC/USDT,ema_20_50_6_0.004,ema_momentum,2.5,0.0,False,-2.7595623998434267,-75.17239643547497,-2.4367476277507425,-2.560383954427527,-83.5110626874318,-85.83808862079029,-2.4309801571256546,0.0,1239,,,,
BTC/USDT,ema_20_50_12_0.002,ema_momentum,2.5,0.0,False,-1.9570383167192886,-65.68253519033418,-1.5398665254018196,-1.6611223654632503,-72.77966213142646,-77.20857575303494,-1.6773619305480891,5.5,1102,,,,
BTC/USDT,ema_20_50_12_0.004,ema_momentum,2.5,0.0,False,-1.1680292263130487,-48.316956816580905,-1.1693708450388725,-1.4347668498237094,-67.1664456648591,-74.8169311496032,-1.0408252115863537,10.0,927,,,,
BTC/USDT,ema_20_100_6_0.002,ema_momentum,2.5,0.0,False,-3.3984244818481115,-82.36134467633276,-2.998962661441323,-3.0640692847193223,-88.79547769072084,-89.99477322470352,-2.900427458806985,0.0,1492,,,,
BTC/USDT,ema_20_100_6_0.004,ema_momentum,2.5,0.0,False,-2.5750881424790597,-72.41200151065318,-2.5924060053343982,-2.8435641752226988,-85.78109468872597,-87.18626630516827,-2.4253601890481984,0.0,1204,,,,
BTC/USDT,ema_20_100_12_0.002,ema_momentum,2.5,0.0,False,-1.2788006006048527,-51.40147092993153,-1.6215587085598067,-1.990363853435975,-77.34974240396122,-80.75076653096657,-1.3540112675021447,8.5,1070,,,,
BTC/USDT,ema_20_100_12_0.004,ema_momentum,2.5,0.0,False,-0.5821624204736967,-30.72066869911403,-1.207326242816519,-1.601578422885374,-69.41977449529556,-75.97866621359448,-0.769269824351013,13.0,881,,,,
BTC/USDT,breakout_atr_20_0.5,breakout_atr,2.5,0.0,False,0.6471705143449107,21.15351053726291,-0.3250333851010458,-0.9374801599717949,-42.72886794790575,-53.43381462276151,-0.40873881463218,33.0,284,,,,
BTC/USDT,breakout_atr_20_1.0,breakout_atr,2.5,0.2,False,-0.405120759337861,-13.655062511473936,0.07393193713735463,0.005290243240443695,-4.314914086360577,-22.881623063621227,-0.10561604469078233,35.5,166,,,,
BTC/USDT,breakout_atr_40_0.5,breakout_atr,2.5,0.2,False,0.12086700291361718,-0.16491003640669577,-0.13191507462283059,-1.0142607318514367,-42.48264371696572,-53.71623387514289,-0.17367227651998912,40.0,238,,,,
BTC/USDT,breakout_atr_40_1.0,breakout_atr,2.5,0.2,False,-0.2982730179518399,-10.024399919905125,0.45438456113263276,0.08722758572092151,-0.5363717799223067,-19.79989524126634,0.18664077572506282,54.0,138,,,,
BTC/USDT,breakout_atr_60_0.5,breakout_atr,2.5,0.2,False,0.06520015486111268,-1.8433733714005696,0.10585871473823427,-0.7617916722677249,-33.66568871642088,-46.64687611332933,-0.07675203595280958,42.0,207,,,,
BTC/USDT,breakout_atr_60_1.0,breakout_atr,2.5,0.2,False,-0.27645469562315345,-8.921279463762833,0.38896999280309236,0.007617862359926367,-3.4542591564745595,-22.888925235312453,0.25776232582796094,61.0,125,,,,
BTC/USDT,vol_breakout_20_1.0,volatility_breakout,2.5,0.8,False,0.3440807039468342,8.060176373641914,-0.7512545702331767,-1.4932516929020108,-57.895482564155486,-64.30984890131799,-0.45408251424344737,34.5,323,,,,
