feature_set_id,model_id,split_type,metric_roc_auc,metric_pr_auc,metric_log_loss,metric_brier_score,metric_balanced_accuracy,metric_accuracy,metric_mean_forward_return
crypto_core_v1,hist_gradient_boosting,holdout,0.5085841077096739,0.509852255528681,0.711335556296436,0.25805682574461297,0.506434269740949,0.5071360069071301,0.0005415550328216605
crypto_core_v1,hist_gradient_boosting,validation,0.5292917256469065,0.5387309468736393,0.7152551542575246,0.25898441247686155,0.5211153648839002,0.5200150042847196,0.006287475923695333
crypto_core_v1,logistic_regression,holdout,0.51786900842508,0.5209900057982434,0.6932107646543254,0.2500307320298584,0.5107064665618933,0.5103140126768483,0.0005415550328216605
crypto_core_v1,logistic_regression,validation,0.5184442748203814,0.5361123098757521,0.6947859237453522,0.25080249624110945,0.5143444495806007,0.5094769863859951,0.006287475923695333
crypto_core_v1,random_forest,holdout,0.5119777230540002,0.5141700192694058,0.7009507256489446,0.2536776194503741,0.5091069459822166,0.5089991914316839,0.0005415550328216605
crypto_core_v1,random_forest,validation,0.5342635215962649,0.5433653861257041,0.7007840151435667,0.25332080373813315,0.5251699646650303,0.5221930074959237,0.006287475923695333
crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,holdout,0.5145103718949943,0.5186861916424748,0.8673536506178561,0.30637129748447983,0.5040479806039728,0.5018273889071454,0.0005415550328216605
crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,validation,0.5384312711848548,0.5428985175837506,0.8888831358210507,0.303996088503649,0.5262133326670796,0.5069293460823191,0.006287475923695333
crypto_core_v1+crypto_context_proxy_v1,logistic_regression,holdout,0.5399373469514733,0.5311189916920384,0.7013206544957885,0.2532038108114099,0.5280170287709718,0.5279196432889833,0.0005415550328216605
crypto_core_v1+crypto_context_proxy_v1,logistic_regression,validation,0.5389374960665105,0.5548782841228843,0.7388956301060645,0.2684833156931264,0.5179535613171048,0.5106533529570321,0.006287475923695333
crypto_core_v1+crypto_context_proxy_v1,random_forest,holdout,0.5107642005364874,0.5171829831237588,0.7185393737463531,0.2615363559323452,0.5058870418934311,0.5040938426493251,0.0005415550328216605
crypto_core_v1+crypto_context_proxy_v1,random_forest,validation,0.5385424869246802,0.5460265603671334,0.7661294500751351,0.2780025404674531,0.5243390191624764,0.49921017225647607,0.006287475923695333
