target,timeframe,horizon,feature_set_id,model_id,split_id,metric_roc_auc,metric_pr_auc,metric_log_loss,metric_brier_score,metric_balanced_accuracy,metric_accuracy,metric_mean_forward_return
BTC/USDT,1h,12h,crypto_core_v1,hist_gradient_boosting,wf_2022,0.5190348345354465,0.48038275576907596,0.7061033756856123,0.25611952582059244,0.5156318224340166,0.5069634703196347,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5326564691092216,0.5518799005049968,0.6965719381120764,0.2515487384678452,0.5220270843144031,0.5244890969288731,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1,hist_gradient_boosting,wf_2024,0.542882425690572,0.5688949921101967,0.6906863961850295,0.24873826697214643,0.5321640841682789,0.5381375227686703,0.0012614836883870998
BTC/USDT,1h,12h,crypto_core_v1,logistic_regression,wf_2022,0.5449992541350507,0.5087493549562444,0.6911623944358447,0.24895301178220772,0.5326588125945118,0.5305936073059361,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1,logistic_regression,wf_2023,0.5566811247210803,0.5655297123291217,0.6886065930737907,0.2477410024838234,0.5408882671531032,0.5395593104235643,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1,logistic_regression,wf_2024,0.5332824503076958,0.5667934996633534,0.6927725805454802,0.2498019073027399,0.5338145977565616,0.530851548269581,0.0012614836883870998
BTC/USDT,1h,12h,crypto_core_v1,random_forest,wf_2022,0.529095508857009,0.4880636302825689,0.6978054453402763,0.25217265358281654,0.5221146210511605,0.5207762557077625,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1,random_forest,wf_2023,0.5534470138757644,0.5648566978985528,0.6900406152344586,0.2484127077399127,0.5413802986907351,0.5409293298321726,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1,random_forest,wf_2024,0.5519801138625282,0.5736253424911062,0.690907124072655,0.2488129036151415,0.5421323792080481,0.5409836065573771,0.0012614836883870998
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2022,0.5224883645329522,0.47950443357145117,0.738372143788636,0.2704935912560104,0.5221733013416308,0.5035388127853881,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2023,0.5293643816049276,0.536743889689081,0.7049816055660669,0.25549445231821133,0.5110196635108848,0.5072496860372189,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,hist_gradient_boosting,wf_2024,0.5419878681523926,0.5689201035408119,0.7183574378512939,0.26163102748773315,0.5233092089338292,0.5110428051001822,0.0012614836883870998
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2022,0.5317412757477107,0.4962141936798402,0.7025863245799763,0.25434283889262205,0.5123070856019077,0.5378995433789955,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2023,0.5453818106259392,0.5665103627513135,0.6920542839954913,0.249427617479584,0.5387167397748595,0.5370476081744492,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,logistic_regression,wf_2024,0.520806337847219,0.5604907414129559,0.7039828224644435,0.2552656270855321,0.5198692939024769,0.5034153005464481,0.0012614836883870998
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2022,0.5260611910639152,0.47556544262508477,0.7161554562013512,0.2607648463603969,0.525243905163651,0.5073059360730594,-0.0011562891748861793
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2023,0.5577606234853238,0.5656263827818038,0.6936388398991314,0.2501815597326483,0.5335750376156532,0.5254024432012787,0.0014174688604865658
BTC/USDT,1h,12h,crypto_core_v1+crypto_context_proxy_v1,random_forest,wf_2024,0.5421715854141043,0.5730261113149206,0.7079708623777239,0.25702522266013444,0.5287794379121304,0.5162795992714025,0.0012614836883870998
BTC/USDT,1h,1h,crypto_core_v1,hist_gradient_boosting,wf_2022,0.5726248488577619,0.5558840277528173,0.686025291304026,0.24645134142199798,0.5537125475320055,0.553082191780822,-9.407711287377576e-05
BTC/USDT,1h,1h,crypto_core_v1,hist_gradient_boosting,wf_2023,0.5700130709173965,0.5791350462830955,0.6852590045035085,0.2460851233803602,0.5470440327964615,0.5483502682954675,0.00011746238176947424
BTC/USDT,1h,1h,crypto_core_v1,hist_gradient_boosting,wf_2024,0.5579369093423401,0.5591005970227985,0.6880570852104911,0.24746141212301742,0.5472946004772021,0.5480418943533698,0.00010622134319957378
BTC/USDT,1h,1h,crypto_core_v1,logistic_regression,wf_2022,0.5577090725376403,0.5426134973530268,0.6887302656588077,0.24778854854038013,0.5406046398451703,0.5404109589041096,-9.407711287377576e-05
